dataset_name,site,treatment,activity_media_name,stream_name,activity_start_date,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_start_depth,layer_collection_end_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,field_comment
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,"",NA,,as Na,Filterable,1.77000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,"",NA,,as Na,Filterable,1.87000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,"",NA,,as Na,Filterable,2.24000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,"",NA,,as Na,Filterable,1.28000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,"",NA,,as Na,Filterable,1.38000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,"",NA,,as Na,Filterable,1.77000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,"",NA,,as Na,Filterable,1.09000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,"",NA,,as Na,Filterable,1.25000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,"",NA,,as Na,Filterable,1.26000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.27000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.18000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.20000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.21000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.24000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.30000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.38000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,6.59000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,6.64000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,6.96000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,6.39000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,6.48000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,6.56000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.83000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,5.08000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,5.28000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,5.30000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.81000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.82000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,,PH,,,Unfiltered,4.88000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,"",SO4,,as SO4,Filterable,0.46000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,"",SO4,,as SO4,Filterable,0.36000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,"",SO4,,as SO4,Filterable,0.37000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-07,,"",SO4,,as SO4,Filterable,0.48000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,"",SO4,,as SO4,Filterable,0.14000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-07,,"",SO4,,as SO4,Filterable,0.22000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,"",SO4,,as SO4,Filterable,0.41000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,"",SO4,,as SO4,Filterable,0.64000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-07,,"",SO4,,as SO4,Filterable,0.73000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",ALK,,alkalinity,"",278.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",ALK,,alkalinity,"",280.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",ALK,,alkalinity,"",24.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",ALK,,alkalinity,"",0.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",ALK,,alkalinity,"",155.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",CA,,as Ca,Filterable,2.86000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",CA,,as Ca,Filterable,2.49000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",CA,,as Ca,Filterable,6.23000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",CA,,as Ca,Filterable,6.29000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",CA,,as Ca,Filterable,2.21000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",CL,,as Cl,Filterable,0.14000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",CL,,as Cl,Filterable,0.12000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",CL,,as Cl,Filterable,0.13000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",CL,,as Cl,Filterable,0.15000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",CL,,as Cl,Filterable,0.20000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",COND,,"",Unfiltered,24.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",COND,,"",Unfiltered,36.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",COND,,"",Unfiltered,37.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",COND,,"",Unfiltered,21.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",COND,,"",Unfiltered,38.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",DIC,,as Total CO2,Dissolved,407.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",DIC,,as Total CO2,Dissolved,380.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",DIC,,as Total CO2,Dissolved,383.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",DIC,,as Total CO2,Dissolved,418.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",DIC,,as Total CO2,Dissolved,164.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",DOC,,as C,Filterable,728.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",DOC,,as C,Filterable,2542.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",DOC,,as C,Filterable,4427.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",DOC,,as C,Filterable,2623.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",DOC,,as C,Filterable,2657.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",FE,,as Fe,Filterable,1.38000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",FE,,as Fe,Filterable,1.39000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",FE,,as Fe,Filterable,0.95000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",FE,,as Fe,Filterable,1.33000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",FE,,as Fe,Filterable,0.02000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",K,,as K,Filterable,0.35000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",K,,as K,Filterable,0.25000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",K,,as K,Filterable,0.33000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",K,,as K,Filterable,0.30000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",K,,as K,Filterable,0.02000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",MG,,as Mg,Filterable,0.57000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",MG,,as Mg,Filterable,0.83000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",MG,,as Mg,Filterable,1.58000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",MG,,as Mg,Filterable,1.59000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",MG,,as Mg,Filterable,0.78000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",NA,,as Na,Filterable,0.95000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",NA,,as Na,Filterable,1.95000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",NA,,as Na,Filterable,1.98000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",NA,,as Na,Filterable,1.02000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",NA,,as Na,Filterable,1.12000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",NO2,,as NO2-N,Filterable,0.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",NO2,,as NO2-N,Filterable,6.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",NO2,,as NO2-N,Filterable,9.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",NO2,,as NO2-N,Filterable,4.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",NO3,,as NO3-N,Filterable,12.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",NO3,,as NO3-N,Filterable,13.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",NO3,,as NO3-N,Filterable,4.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",NO3,,as NO3-N,Filterable,0.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",NO3,,as NO3-N,Filterable,2.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2016-09-12,,"",PARTC,,as C,Non-Filterable (Particle),420.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",PARTC,,as C,Non-Filterable (Particle),509.50000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",PARTC,,as C,Non-Filterable (Particle),610.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",PARTC,,as C,Non-Filterable (Particle),701.50000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",PARTC,,as C,Non-Filterable (Particle),362.20000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2016-09-12,,"",PARTN,,as N,Non-Filterable (Particle),20.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2016-09-12,,"",PARTN,,as N,Non-Filterable (Particle),45.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",PARTN,,as N,Non-Filterable (Particle),46.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2016-09-12,,"",PARTN,,as N,Non-Filterable (Particle),37.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
